soak match timer: canonical 1-minute match (harness default, no override)
soak: smash64ds-battle-playable-tickhud-hwtri.nds [build-c165-keepcache-bp1] slot 2, hashing the window every 10s for 2.5m; trip at 8 identical frames
  t+   60s  alive, 6 distinct frames so far
  t+  120s  alive, 12 distinct frames so far

verdict: NO-FREEZE
    gNdsAudioFgmGenerationMismatchCount      0
    gNdsAudioFgmStaleStopCount               0
    gNdsAudioFgmStopAllCalls                 2
    gNdsAudioFgmMissRingCount                1
    gNdsAudioFgmMissRingIDs[0]               17
    gNdsAudioFgmMissRingCounts[0]            1
    gNdsAudioFgmMissRingIDs[1]               0
    gNdsAudioFgmMissRingCounts[1]            0
    gNdsAudioFgmMissRingIDs[2]               0
    gNdsAudioFgmMissRingCounts[2]            0
    gNdsAudioFgmMissRingIDs[3]               0
    gNdsAudioFgmMissRingCounts[3]            0
    gNdsAudioFgmMissRingIDs[4]               0
    gNdsAudioFgmMissRingCounts[4]            0
    gNdsAudioFgmMissRingIDs[5]               0
    gNdsAudioFgmMissRingCounts[5]            0
    gNdsAudioFgmMissRingIDs[6]               0
    gNdsAudioFgmMissRingCounts[6]            0
    gNdsAudioFgmMissRingIDs[7]               0
    gNdsAudioFgmMissRingCounts[7]            0
    gNdsSObjLayerMemoSkipCount               2853
    gNdsSObjLayerMemoRedrawCount             6
    gNdsSObjLayerMemoOverflowCount           0
    gNdsVSResultsPresentIntervalBucket[2]    2649
    gNdsVSResultsPresentIntervalBucket[3]    1
    gNdsVSResultsPresentIntervalBucket[4]    3
    gNdsVSResultsPresentIntervalBucket[5]    1
    gNdsVSResultsPresentIntervalBucket[6]    2
    gNdsVSResultsPresentIntervalBucket[7]    0
    gNdsVSResultsPresentIntervalBucket[8]    0
    gNdsVSResultsPresentIntervalBucket[9]    0
    gNdsVSResultsPresentIntervalBucket[10]   0
    gNdsVSResultsPresentIntervalBucket[15]   0
    gNdsVSResultsPresentIntervalMax          6
    gNdsVSResultsPresentIntervalSamples      2931
    gNdsSCVSBattleLifecycleArenaAdapterCount 1
    gNdsSCVSBattleOriginalGObjCount          46
    gNdsTaskmanMallocCount                   1069
    gNdsTickHudFighterTicks                  799749440
    gNdsTickHudStageTicks                    0
    gNdsTickHudSourceTicks                   7424
    gNdsTickHudForegroundTicks               0
    gNdsTickHudBackgroundTicks               12084096
    gNdsTickHudAudioTicks                    768
    gNdsTickHudFlushTicks                    174336
    gNdsTickHudVBlankWaitTicks               1463630144
    gNdsControllerPollCount                  9073
    sSYControllerWaitUpdate                  0
    gNdsGcRunAllEntryTapMask                 0
    gNdsGcRunAllExitTapMask                  0
    gNdsGcRunAllTapAliveCount                0
    gNdsGcRunAllTapLostCount                 0
    sMNVSResultsTotalTimeTics                2932
    sMNVSResultsAllowExitWait                410
    gNdsFighterProcessLoopControllerBridgeCount 0
    gNdsFighterProcessLoopP0InputApplyCount  0
    gNdsFighterSchedulerLoopP0InputApplyCount 0
    gNdsR2TexProofFastCount                  20408
    gNdsR2TexProofSweepCount                 10
    gNdsR2TexProofSweepFailCount             0
    gNdsR2TextureEpochBumpCount              57
    sNdsAObjEvent32NormalizedCount           245
    gNdsAObjEvent32NormalizeScriptCount      225
    gNdsAObjEvent32NormalizeReuseCount       1609
    gNdsAObjEvent32NormalizeFailCount        0
    gNdsBattlePlayablePacingPresentIntervalBucket[2] 1652
    gNdsBattlePlayablePacingPresentIntervalBucket[3] 224
    gNdsBattlePlayablePacingPresentIntervalBucket[4] 19
    gNdsBattlePlayablePacingPresentIntervalBucket[5] 148
    gNdsBattlePlayablePacingPresentIntervalMax 19
    gNdsBattlePlayablePacingCadenceViolationCount 0
    gNdsBattlePlayablePacingVBlanks          5235
  match timer confirmed in-guest: 1 minute(s)
    general heap free bytes                  225460 (end-of-run scene, not battle)
  => 1 results-scene start(s), i.e. 1 completed match(es)
  battle completed and Results is up. A passive soak CANNOT reach match 2: Results exits on START only.
verdict CORRECTED to SOAK-UNDERCOVERED -- the 1-minute match ended during a 2.5-minute passive soak, so the tail watched Results rather than gameplay. Re-run with -MatchMinutes 3 or higher; the default resolves this automatically, so this run was given an explicit value that was too small.
final frame saved to D:\Stuff\DevFolder\Smash64DS_Port\artifacts\verification\freeze-soak\2026-08-15_044721-SOAK-UNDERCOVERED.png
EXIT=2

[exited with code 2]
