soak match timer: canonical 1-minute match (harness default, no override)
soak: smash64ds-battle-playable-tickhud-hwtri.nds [build-c165-keepcache-bp1] slot 2, hashing the window every 10s for 0.5m; trip at 8 identical frames

verdict: NO-FREEZE
    gNdsAudioFgmMissRingCount                0
    gNdsAudioFgmMissRingIDs[0]               0
    gNdsAudioFgmMissRingCounts[0]            0
    gNdsAudioFgmMissRingIDs[1]               0
    gNdsAudioFgmMissRingCounts[1]            0
    gNdsAudioFgmMissRingIDs[2]               0
    gNdsAudioFgmMissRingCounts[2]            0
    gNdsAudioFgmMissRingIDs[3]               0
    gNdsAudioFgmMissRingCounts[3]            0
    gNdsAudioFgmMissRingIDs[4]               0
    gNdsAudioFgmMissRingCounts[4]            0
    gNdsAudioFgmMissRingIDs[5]               0
    gNdsAudioFgmMissRingCounts[5]            0
    gNdsAudioFgmMissRingIDs[6]               0
    gNdsAudioFgmMissRingCounts[6]            0
    gNdsAudioFgmMissRingIDs[7]               0
    gNdsAudioFgmMissRingCounts[7]            0
    gNdsSObjLayerMemoSkipCount               0
    gNdsSObjLayerMemoRedrawCount             0
    gNdsSObjLayerMemoOverflowCount           0
    gNdsVSResultsPresentIntervalBucket[2]    0
    gNdsVSResultsPresentIntervalBucket[3]    0
    gNdsVSResultsPresentIntervalBucket[4]    0
    gNdsVSResultsPresentIntervalBucket[5]    0
    gNdsVSResultsPresentIntervalBucket[6]    0
    gNdsVSResultsPresentIntervalBucket[7]    0
    gNdsVSResultsPresentIntervalBucket[8]    0
    gNdsVSResultsPresentIntervalBucket[9]    0
    gNdsVSResultsPresentIntervalBucket[10]   0
    gNdsVSResultsPresentIntervalBucket[15]   0
    gNdsVSResultsPresentIntervalMax          0
    gNdsVSResultsPresentIntervalSamples      0
    gNdsSCVSBattleLifecycleArenaAdapterCount 1
    gNdsSCVSBattleOriginalGObjCount          0
    gNdsTaskmanMallocCount                   577
    gNdsTickHudFighterTicks                  0
    gNdsTickHudStageTicks                    0
    gNdsTickHudSourceTicks                   0
    gNdsTickHudForegroundTicks               0
    gNdsTickHudBackgroundTicks               0
    gNdsTickHudAudioTicks                    0
    gNdsTickHudFlushTicks                    0
    gNdsTickHudVBlankWaitTicks               2536704
    gNdsControllerPollCount                  6
    sSYControllerWaitUpdate                  0
    gNdsGcRunAllEntryTapMask                 0
    gNdsGcRunAllExitTapMask                  0
    gNdsGcRunAllTapAliveCount                0
    gNdsGcRunAllTapLostCount                 0
    sMNVSResultsTotalTimeTics                0
    sMNVSResultsAllowExitWait                0
    gNdsFighterProcessLoopControllerBridgeCount 0
    gNdsFighterProcessLoopP0InputApplyCount  0
    gNdsFighterSchedulerLoopP0InputApplyCount 0
    gNdsR2TexProofFastCount                  0
    gNdsR2TexProofSweepCount                 0
    gNdsR2TexProofSweepFailCount             0
    gNdsR2TextureEpochBumpCount              0
    sNdsAObjEvent32NormalizedCount           240
    gNdsAObjEvent32NormalizeScriptCount      32
    gNdsAObjEvent32NormalizeReuseCount       0
    gNdsAObjEvent32NormalizeFailCount        0
    gNdsBattlePlayablePacingPresentIntervalBucket[2] 0
    gNdsBattlePlayablePacingPresentIntervalBucket[3] 0
    gNdsBattlePlayablePacingPresentIntervalBucket[4] 0
    gNdsBattlePlayablePacingPresentIntervalBucket[5] 0
    gNdsBattlePlayablePacingPresentIntervalMax 0
    gNdsBattlePlayablePacingCadenceViolationCount 0
    gNdsBattlePlayablePacingVBlanks          0
  match timer confirmed in-guest: 1 minute(s)
    general heap free bytes                  6076 (end-of-run scene, not battle)
  => 0 results-scene start(s), i.e. 0 completed match(es)
verdict CORRECTED to NEVER-STARTED -- the ROM presented zero battle frames, so nothing was soaked -- the picture moved, but not because of gameplay
final frame saved to D:\Stuff\DevFolder\Smash64DS_Port\artifacts\verification\freeze-soak\2026-08-15_044142-NEVER-STARTED.png
EXIT=2

[exited with code 2]
